direct,cot,tot,cva
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=15.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=39.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=17.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=53.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=14.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=25.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=36.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=87.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=12.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=25.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=10.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=21.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=12.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=25.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.4, avg_atd=20.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.4, avg_atd=41.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.375, avg_atd=37.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=77.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=13.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=27.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=23.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=57.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=6.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=29.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=39.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=63.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=13.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=27.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=13.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=27.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=17.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=23.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=10.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=21.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=25.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=43.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=20.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=41.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
