timestamp,model,sample_id,category,label,method,perturbation,decision,reasoning,css,orig_acc,cf_acc
2025-12-25T20:46:58.997168,gpt-4.1-mini,RANSOM_001,Ransomware,Ransomware,direct,orig,Ransomware,,,1,
2025-12-25T20:46:58.997207,gpt-4.1-mini,RANSOM_001,Ransomware,Ransomware,cot,orig,Ransomware,"The sample exhibits classic ransomware behavior: it enumerates user files, encrypts them making originals unreadable, drops ransom notes, changes the wallpaper to payment instructions, disables system restore points, and terminates backup services. These actions are consistent with ransomware aiming to extort payment by denying access to user data.",,1,
2025-12-25T20:46:58.997222,gpt-4.1-mini,RANSOM_001,Ransomware,Ransomware,tot,orig,Ransomware,"Candidate labels:
1. Ransomware
   - Creates file enumeration loop across user directories and reads many documents.
   - Writes encrypted copies with new extensions; originals become unreadable.
   - Drops ransom note in each directory and changes wallpaper to payment instructions.
   - Disables shadow copies / restore points using system commands.
   - Spawns process to terminate backup services and database services.

2. Generic Malware
   - Creates file enumeration loop across user directories and reads many documents.
   - Spawns process to terminate backup services and database services.

3. Backdoor
   - Spawns process to terminate backup services and database services.
   - Disables shadow copies / restore points using system commands.

Best label:",,1,
2025-12-25T20:46:58.997286,gpt-4.1-mini,RANSOM_001,Ransomware,Ransomware,cva,orig,Ransomware,"The sample exhibits classic ransomware behavior: it enumerates user files, encrypts them making originals unreadable, drops ransom notes, changes the wallpaper to payment instructions, disables system restore points, and terminates backup services. These actions are typical of ransomware aiming to extort payment by denying access to user data.",1.0,1,
2025-12-25T20:46:58.997309,gpt-4.1-mini,RANSOM_001,Ransomware,Ransomware,cva,mask_encryption,Ransomware,"The sample exhibits classic ransomware behavior: it enumerates user files, encrypts them making originals unreadable, drops ransom notes, changes the wallpaper to payment instructions, disables system restore points, and terminates backup services. These actions are typical of ransomware aiming to extort victims by denying access to their data.",,,0
2025-12-25T20:46:58.997322,gpt-4.1-mini,RANSOM_001,Ransomware,Ransomware,cva,remove_persistence,Ransomware,"The sample exhibits classic ransomware behavior: it enumerates user files, encrypts them making originals unreadable, drops ransom notes, changes the wallpaper to payment instructions, disables system restore points, and terminates backup services. These actions are typical of ransomware aiming to extort payment by denying access to user data.",,,1
2025-12-25T20:46:58.997334,gpt-4.1-mini,RANSOM_001,Ransomware,Ransomware,cva,modify_c2,Ransomware,"The sample exhibits classic ransomware behavior: it enumerates user files, encrypts them making originals unreadable, drops ransom notes, changes the wallpaper to payment instructions, disables system restore points, and terminates backup services. These actions are typical of ransomware aiming to extort victims by denying access to their data.",,,1
2025-12-25T20:47:08.310726,gpt-4.1-mini,RANSOM_002,Ransomware,Ransomware,direct,orig,Ransomware,,,1,
2025-12-25T20:47:08.310756,gpt-4.1-mini,RANSOM_002,Ransomware,Ransomware,cot,orig,Ransomware,"The sample exhibits classic ransomware behavior: it encrypts files by rewriting them with high-entropy bytes and renames them, which is typical of ransomware encrypting user data. It also creates a mutex to avoid multiple instances, enumerates network shares to potentially spread or find more files to encrypt, attempts to delete backups and disables recovery features to prevent restoration, and leaves a ransom note demanding payment for decryption keys.",,1,
2025-12-25T20:47:08.310769,gpt-4.1-mini,RANSOM_002,Ransomware,Ransomware,tot,orig,Ransomware,"Candidate labels:
1. Ransomware
   - Mass renames files after rewriting contents with high-entropy bytes, typical of encryption behavior. [E1]
   - Ransom note indicates timed payment and decryption key escrow, a hallmark of ransomware. [E4]

2. Generic Malware
   - Creates mutex to avoid multiple runs and enumerates network shares, common in various malware types. [E2]
   - Attempts to delete backups and disables recovery features, which can be seen in destructive malware. [E3]

3. Backdoor
   - Enumerates network shares, potentially for lateral movement or persistence. [E2]
   - Attempts to delete backups and disables recovery features, possibly to maintain access. [E3]

Best label:",,1,
2025-12-25T20:47:08.310784,gpt-4.1-mini,RANSOM_002,Ransomware,Ransomware,cva,orig,Ransomware,"The sample exhibits classic ransomware behavior: it encrypts files by rewriting them with high-entropy bytes and renames them, which is typical of ransomware encrypting user data. It also creates a mutex to avoid multiple instances, enumerates network shares likely to spread or find more files to encrypt, attempts to delete backups and disables recovery features to prevent restoration, and finally, it leaves a ransom note demanding payment for decryption keys.",1.0,1,
2025-12-25T20:47:08.310797,gpt-4.1-mini,RANSOM_002,Ransomware,Ransomware,cva,mask_encryption,Ransomware,"The sample exhibits classic ransomware behavior: it encrypts files by rewriting them with high-entropy bytes and renames them, which is typical of ransomware encrypting user data. It also creates a mutex to avoid multiple instances, enumerates network shares to potentially spread or find more files to encrypt, attempts to delete backups and disables recovery features to prevent restoration, and displays a ransom note demanding payment with a decryption key escrow. All these behaviors are consistent with ransomware.",,,0
2025-12-25T20:47:08.310809,gpt-4.1-mini,RANSOM_002,Ransomware,Ransomware,cva,suppress_exfiltration,Ransomware,"The sample exhibits classic ransomware behavior: it encrypts files by rewriting them with high-entropy bytes and renames them, which is typical of ransomware encrypting user data. It also creates a mutex to avoid multiple instances, enumerates network shares to potentially spread or find more files to encrypt, attempts to delete backups and disables recovery features to prevent restoration, and leaves a ransom note demanding payment for decryption keys.",,,1
2025-12-25T20:47:08.310819,gpt-4.1-mini,RANSOM_002,Ransomware,Ransomware,cva,modify_c2,Ransomware,"The sample exhibits classic ransomware behavior: it encrypts files by rewriting them with high-entropy bytes and renames them, which is typical of ransomware encrypting user data. It also creates a mutex to prevent multiple instances, enumerates network shares likely to spread or find more files to encrypt, deletes backups, and disables recovery features to prevent restoration. The presence of a ransom note demanding payment with a timed deadline and key escrow further confirms ransomware activity.",,,1
2025-12-25T20:47:15.790870,gpt-4.1-mini,INFO_001,Infostealer,Infostealer,direct,orig,Infostealer,,,1,
2025-12-25T20:47:15.790899,gpt-4.1-mini,INFO_001,Infostealer,Infostealer,cot,orig,Infostealer,"The sample reads browser profiles and OS credential stores to extract login data, compresses the stolen information, and sends it to a remote server. These behaviors are characteristic of an infostealer, which focuses on stealing sensitive information and exfiltrating it.",,1,
2025-12-25T20:47:15.790910,gpt-4.1-mini,INFO_001,Infostealer,Infostealer,tot,orig,Infostealer,"Candidate Labels:
1. Infostealer
   - Reads browser profile databases and extracts saved login records. [E1]
   - Accesses OS credential store / keychain APIs. [E2]

2. Backdoor
   - Makes outbound POST requests with the archive to a remote endpoint. [E4]
   - Compresses stolen data into a single archive for staging. [E3]

3. Generic Malware
   - Compresses stolen data into a single archive for staging. [E3]
   - Makes outbound POST requests with the archive to a remote endpoint. [E4]",,1,
2025-12-25T20:47:15.790925,gpt-4.1-mini,INFO_001,Infostealer,Infostealer,cva,orig,Infostealer,"The sample reads browser profiles and OS credential stores to extract login data, compresses the stolen information, and sends it to a remote server. These behaviors are characteristic of an infostealer, which focuses on stealing sensitive information and exfiltrating it.",1.0,1,
2025-12-25T20:47:15.790938,gpt-4.1-mini,INFO_001,Infostealer,Infostealer,cva,suppress_exfiltration,Infostealer,"The sample reads browser profiles and OS credential stores to extract login data, compresses the stolen information, and sends it to a remote server. These behaviors are characteristic of an infostealer, which focuses on stealing sensitive information and exfiltrating it.",,,1
2025-12-25T20:47:15.790949,gpt-4.1-mini,INFO_001,Infostealer,Infostealer,cva,remove_persistence,Infostealer,"The sample reads browser profiles and OS credential stores to extract login data, compresses the stolen information, and sends it to a remote server. These behaviors are characteristic of an infostealer, which focuses on gathering and exfiltrating sensitive information.",,,1
2025-12-25T20:47:15.790960,gpt-4.1-mini,INFO_001,Infostealer,Infostealer,cva,mask_encryption,Infostealer,"The sample reads browser profiles and OS credential stores to extract login data, compresses the stolen information, and sends it to a remote server. These behaviors are characteristic of an infostealer, which focuses on stealing sensitive information and exfiltrating it.",,,1
2025-12-25T20:47:23.368030,gpt-4.1-mini,INFO_002,Infostealer,Infostealer,direct,orig,Infostealer,,,1,
2025-12-25T20:47:23.368059,gpt-4.1-mini,INFO_002,Infostealer,Infostealer,cot,orig,Infostealer,"The sample enumerates browsers, reads cookies and session stores, collects autofill data and email addresses, targets crypto wallet extensions to copy key material, and sends the collected data to an exfiltration destination. These behaviors are characteristic of an infostealer, which focuses on gathering sensitive information from the victim.",,1,
2025-12-25T20:47:23.368070,gpt-4.1-mini,INFO_002,Infostealer,Infostealer,tot,orig,Infostealer,"Candidate labels:

1. Infostealer
- Enumerates installed browsers and reads cookie/session stores (E1).
- Collects autofill data and email addresses from local profiles (E2).
- Targets crypto wallet extensions and copies key material (E3).
- Performs periodic beacon to fetch exfil destination and sends staged bundle (E4).

2. Backdoor
- Performs periodic beacon to fetch exfil destination (E4).
- Sends staged bundle (E4).

3. Generic Malware
- Enumerates installed browsers and collects data (E1, E2).
- Sends data to external destination (E4).

Best label:",,1,
2025-12-25T20:47:23.368085,gpt-4.1-mini,INFO_002,Infostealer,Infostealer,cva,orig,Infostealer,"The sample enumerates browsers, reads cookies and session stores, collects autofill data and email addresses, targets crypto wallet extensions to copy key material, and sends collected data to an exfiltration destination. These behaviors are characteristic of an infostealer, which focuses on gathering sensitive information for theft.",1.0,1,
2025-12-25T20:47:23.368099,gpt-4.1-mini,INFO_002,Infostealer,Infostealer,cva,suppress_exfiltration,Infostealer,"The sample enumerates browsers, reads cookies and session stores, collects autofill data and email addresses, targets crypto wallet extensions to copy key material, and sends collected data to an exfiltration destination. These behaviors are characteristic of an infostealer, which focuses on gathering sensitive information for theft.",,,1
2025-12-25T20:47:23.368110,gpt-4.1-mini,INFO_002,Infostealer,Infostealer,cva,modify_c2,Infostealer,"The sample enumerates browsers, reads cookies and session stores, collects autofill data and email addresses, targets crypto wallet extensions to copy key material, and sends the collected data to an exfiltration destination. These behaviors are characteristic of an infostealer, which focuses on gathering sensitive information from the victim's system.",,,1
