direct,cva
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
