direct,cva
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.6666666666666666, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.6666666666666666, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 1.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.3333333333333333, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 1.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 1.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 1.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.3333333333333333, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.5, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.5, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.5, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.0, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
"{'avg_css': None, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 0.0, 'cf_acc': None}","{'avg_css': 0.25, 'avg_dsi': 0.0, 'avg_atd': 1.0, 'orig_acc': 1.0, 'cf_acc': None}"
