sample_id,category,evidence,label,counterfactual_labels
RANSOMWARE_001,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'File contents were transformed with symmetric encryption; encrypted extensions appeared rapidly.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_002,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Outbound HTTPS beaconing to a hard-coded IP address on a non-standard port.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_003,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'File contents were transformed with symmetric encryption; encrypted extensions appeared rapidly.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Created new encrypted copies and removed originals across user directories.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_004,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Outbound HTTPS beaconing to a hard-coded IP address on a non-standard port.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_005,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Created new encrypted copies and removed originals across user directories.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_006,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Created new encrypted copies and removed originals across user directories.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_007,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Enumerated documents and rewrote them in-place; many filenames changed post-write.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_008,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Created new encrypted copies and removed originals across user directories.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed an autostart entry under HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_009,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed an autostart entry under HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Outbound HTTPS beaconing to a hard-coded IP address on a non-standard port.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_010,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Displayed a payment instruction message and threatened permanent data loss.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed an autostart entry under HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
