sample_id,category,method,perturbation,expected_cf,pred_root,pred_cf,flipped,correct
RANSOMWARE_001,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_001,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_001,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_001,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_001,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_002,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_002,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_002,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_002,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_002,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_003,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_003,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_003,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_003,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_003,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_004,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_004,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_004,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_004,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
