direct,cot,tot,cva
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=21.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=21.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=9.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=19.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=1.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=6.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=13.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=1.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=7.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=15.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=1.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=8.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=17.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=8.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=17.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=1.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=6.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.5, avg_atd=13.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=1.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=7.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.05, avg_atd=15.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=1.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.375, avg_atd=47.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.375, avg_atd=93.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
"MethodAverages(avg_css=None, avg_dsi=0.0, avg_atd=1.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.375, avg_atd=14.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=None, avg_dsi=0.375, avg_atd=29.0, orig_acc=0.0, cf_acc=None)","MethodAverages(avg_css=0.0, avg_dsi=0.0, avg_atd=1.0, orig_acc=1.0, cf_acc=None)"
