timestamp,model,sample_id,category,label,method,perturbation,decision,reasoning,css,orig_acc,cf_acc
2025-12-25T20:23:04.920968,gpt-4.1,RANSOM_001,Ransomware,Ransomware,direct,orig,Ransomware,,,1,
2025-12-25T20:23:04.920997,gpt-4.1,RANSOM_001,Ransomware,Ransomware,cot,orig,Ransomware,"The sample enumerates user files, encrypts them, leaves ransom notes, disables recovery mechanisms, and targets backup services. These behaviors are characteristic of ransomware.",,1,
2025-12-25T20:23:04.921006,gpt-4.1,RANSOM_001,Ransomware,Ransomware,tot,orig,Ransomware,"Candidate labels:

1. Ransomware
   - Encrypts user documents and replaces originals with unreadable versions ([E2]).
   - Drops ransom notes and changes wallpaper to payment instructions ([E3]).
2. Generic Malware
   - Disables system restore points and backup services ([E4], [E5]).
3. Backdoor
   - No evidence of remote access or command and control communication.",,1,
2025-12-25T20:23:04.921056,gpt-4.1,RANSOM_001,Ransomware,Ransomware,cva,orig,Ransomware,"The sample enumerates user files, encrypts them, and replaces originals with unreadable versions, which is typical ransomware behavior. It drops ransom notes and changes the wallpaper to payment instructions, further confirming ransomware intent. Disabling shadow copies and terminating backup/database services are common tactics to prevent recovery, also characteristic of ransomware.",1.0,1,
2025-12-25T20:23:04.921070,gpt-4.1,RANSOM_001,Ransomware,Ransomware,cva,mask_encryption,Ransomware,"The sample enumerates user files, encrypts them, leaves ransom notes, disables recovery mechanisms, and targets backup services. These behaviors are characteristic of ransomware.",,,0
2025-12-25T20:23:04.921077,gpt-4.1,RANSOM_001,Ransomware,Ransomware,cva,remove_persistence,Ransomware,"The sample enumerates user files, encrypts them, leaves ransom notes, disables recovery mechanisms, and targets backup services. These are all hallmark behaviors of ransomware.",,,1
2025-12-25T20:23:04.921082,gpt-4.1,RANSOM_001,Ransomware,Ransomware,cva,modify_c2,Ransomware,"The sample enumerates user files, encrypts them, leaves ransom notes, disables recovery mechanisms, and targets backup services. These behaviors are characteristic of ransomware.",,,1
2025-12-25T20:23:12.191031,gpt-4.1,RANSOM_002,Ransomware,Ransomware,direct,orig,Ransomware,,,1,
2025-12-25T20:23:12.191059,gpt-4.1,RANSOM_002,Ransomware,Ransomware,cot,orig,Ransomware,"The sample rewrites files with high-entropy data and renames them, which is typical of file encryption. It also deletes backups and disables recovery, which are common ransomware tactics to prevent restoration. The presence of a ransom note demanding payment for decryption further confirms ransomware behavior.",,1,
2025-12-25T20:23:12.191070,gpt-4.1,RANSOM_002,Ransomware,Ransomware,tot,orig,Ransomware,"Candidate Labels:

1. Ransomware
   - Mass file renaming and rewriting with high-entropy bytes indicates encryption.
   - Ransom note with payment instructions and decryption key escrow is typical of ransomware.

2. Generic Malware
   - Deletes backups and disables recovery features, which is common in destructive malware.
   - Enumerates network shares, a behavior seen in various malware types.

3. Backdoor
   - Creates mutex to avoid multiple runs, a technique sometimes used by backdoors.
   - Enumerates network shares, which can be used for lateral movement.",,1,
2025-12-25T20:23:12.191085,gpt-4.1,RANSOM_002,Ransomware,Ransomware,cva,orig,Ransomware,"The sample rewrites files with high-entropy data and renames them, which is typical of ransomware encrypting files. It also deletes backups and disables recovery, further supporting ransomware behavior. The presence of a ransom note demanding payment for decryption is definitive evidence.",1.0,1,
2025-12-25T20:23:12.191099,gpt-4.1,RANSOM_002,Ransomware,Ransomware,cva,mask_encryption,Ransomware,"The sample rewrites files with high-entropy data and renames them, deletes backups, disables recovery, enumerates network shares, and drops a ransom note demanding payment for decryption. These are all hallmark behaviors of ransomware.",,,0
2025-12-25T20:23:12.191109,gpt-4.1,RANSOM_002,Ransomware,Ransomware,cva,suppress_exfiltration,Ransomware,"The sample rewrites files with high-entropy data and renames them, deletes backups, disables recovery, enumerates network shares, and drops a ransom note demanding payment for decryption. These are all hallmark behaviors of ransomware.",,,1
2025-12-25T20:23:12.191119,gpt-4.1,RANSOM_002,Ransomware,Ransomware,cva,modify_c2,Ransomware,"The sample rewrites files with high-entropy bytes and mass renames them, which is typical of file encryption. It also deletes backups and disables recovery, common ransomware tactics. The presence of a ransom note demanding payment for decryption further confirms ransomware behavior.",,,1
2025-12-25T20:23:18.233024,gpt-4.1,INFO_001,Infostealer,Infostealer,direct,orig,Infostealer,,,1,
2025-12-25T20:23:18.233051,gpt-4.1,INFO_001,Infostealer,Infostealer,cot,orig,Infostealer,"The sample reads browser profile databases to extract saved logins, accesses OS credential stores, compresses stolen data, and exfiltrates it via outbound POST requests. These behaviors are characteristic of credential theft and data exfiltration, which are typical of infostealers.",,1,
2025-12-25T20:23:18.233062,gpt-4.1,INFO_001,Infostealer,Infostealer,tot,orig,Infostealer,"Candidate Labels:
1. Infostealer
   - Reads browser profile databases and extracts saved login records.
   - Accesses OS credential store / keychain APIs and exfiltrates data via outbound POST requests.
2. Backdoor
   - Makes outbound POST requests to a remote endpoint.
   - Compresses data for transmission, which could indicate remote control or data exfiltration.
3. Generic Malware
   - Exhibits multiple malicious behaviors such as data extraction and exfiltration.
   - Compresses and sends data, which is common in various malware types.",,1,
2025-12-25T20:23:18.233076,gpt-4.1,INFO_001,Infostealer,Infostealer,cva,orig,Infostealer,"The sample reads browser profile databases to extract saved logins, accesses OS credential stores, compresses stolen data, and exfiltrates it via outbound POST requests. These behaviors are characteristic of credential theft and data exfiltration, which are typical of infostealer malware.",1.0,1,
2025-12-25T20:23:18.233089,gpt-4.1,INFO_001,Infostealer,Infostealer,cva,suppress_exfiltration,Infostealer,"The sample reads browser profile databases to extract saved logins, accesses OS credential stores, compresses stolen data, and exfiltrates it via outbound POST requests. These behaviors are characteristic of an infostealer.",,,1
2025-12-25T20:23:18.233099,gpt-4.1,INFO_001,Infostealer,Infostealer,cva,remove_persistence,Infostealer,"The sample reads browser profile databases to extract saved logins, accesses OS credential stores, compresses stolen data, and exfiltrates it via outbound POST requests. These behaviors are characteristic of credential theft and data exfiltration, which are typical of infostealer malware.",,,1
2025-12-25T20:23:18.233110,gpt-4.1,INFO_001,Infostealer,Infostealer,cva,mask_encryption,Infostealer,"The sample reads browser profile databases to extract saved logins, accesses OS credential stores, compresses stolen data, and exfiltrates it via outbound POST requests. These behaviors are characteristic of credential and data theft, matching infostealer activity.",,,1
2025-12-25T20:23:25.092305,gpt-4.1,INFO_002,Infostealer,Infostealer,direct,orig,Infostealer,,,1,
2025-12-25T20:23:25.092333,gpt-4.1,INFO_002,Infostealer,Infostealer,cot,orig,Infostealer,"The sample enumerates browsers, collects sensitive data such as autofill and email addresses, targets crypto wallet key material, and exfiltrates this information. These behaviors are characteristic of an infostealer.",,1,
2025-12-25T20:23:25.092345,gpt-4.1,INFO_002,Infostealer,Infostealer,tot,orig,Infostealer,"Candidate Labels:

1. Infostealer
   - Enumerates browsers, reads cookies/session stores, and collects autofill data and email addresses [E1, E2].
   - Targets crypto wallet extensions and exfiltrates collected data [E3, E4].

2. Backdoor
   - Performs periodic beaconing to fetch exfiltration destination [E4].
   - Sends staged bundle, indicating possible remote control or data exfiltration [E4].

3. Generic Malware
   - Engages in multiple malicious behaviors such as data collection and exfiltration [E1-E4].
   - Targets sensitive user data and crypto wallets [E2, E3].",,1,
2025-12-25T20:23:25.092359,gpt-4.1,INFO_002,Infostealer,Infostealer,cva,orig,Infostealer,"The sample enumerates browsers, collects sensitive data such as autofill and email addresses, targets crypto wallets, and exfiltrates the collected information. These behaviors are characteristic of an infostealer.",1.0,1,
2025-12-25T20:23:25.092373,gpt-4.1,INFO_002,Infostealer,Infostealer,cva,suppress_exfiltration,Infostealer,"The sample enumerates browsers, collects autofill and email data, targets crypto wallets, and exfiltrates collected information. These behaviors are characteristic of an infostealer, which is designed to harvest sensitive user data.",,,1
2025-12-25T20:23:25.092384,gpt-4.1,INFO_002,Infostealer,Infostealer,cva,modify_c2,Infostealer,"The sample enumerates browsers, collects sensitive data such as autofill and email addresses, targets crypto wallet extensions for key material, and exfiltrates this information. These behaviors are characteristic of an infostealer.",,,1
2025-12-25T20:23:25.092393,gpt-4.1,INFO_002,Infostealer,Infostealer,cva,remove_persistence,Infostealer,"The sample enumerates browsers, collects sensitive data such as autofill and email addresses, targets crypto wallets, and exfiltrates the collected information. These behaviors are characteristic of an infostealer.",,,1
